Disease	Gene	Category
Alzheimer	Abca1	Neurological
Alzheimer	Abca7	Neurological
Alzheimer	Abi3	Neurological
Alzheimer	AC074212.3	Neurological
Alzheimer	Ace	Neurological
Alzheimer	Acp2	Neurological
Alzheimer	Acsl6	Neurological
Alzheimer	Adam10	Neurological
Alzheimer	Adamts1	Neurological
Alzheimer	Adamts20	Neurological
Alzheimer	Adamts4	Neurological
Alzheimer	Adamts9	Neurological
Alzheimer	Aff1	Neurological
Alzheimer	Ahnak	Neurological
Alzheimer	AK128216	Neurological
Alzheimer	Akap12	Neurological
Alzheimer	Aldh4a1	Neurological
Alzheimer	Alpk2	Neurological
Alzheimer	Ankrd31	Neurological
Alzheimer	Ankrd55	Neurological
Alzheimer	Ano4	Neurological
Alzheimer	Antxr1	Neurological
Alzheimer	Ap2a2	Neurological
Alzheimer	Aph1c	Neurological
Alzheimer	Apob	Neurological
Alzheimer	Apoc1	Neurological
Alzheimer	APOC1P1	Neurological
Alzheimer	Apoc2	Neurological
Alzheimer	Apoe	Neurological
Alzheimer	Arhgap20	Neurological
Alzheimer	Arid1b	Neurological
Alzheimer	Atm	Neurological
Alzheimer	Atp5c1	Neurological
Alzheimer	Atp5j	Neurological
Alzheimer	Atxn7l1	Neurological
Alzheimer	Bcam	Neurological
Alzheimer	Bcar3	Neurological
Alzheimer	Bcas3	Neurological
Alzheimer	Bche	Neurological
Alzheimer	Bcl3	Neurological
Alzheimer	Bin1	Neurological
Alzheimer	Bmper	Neurological
Alzheimer	Bsg	Neurological
Alzheimer	TSPOAP1-AS1	Neurological
Alzheimer	Tspoap1	Neurological
Alzheimer	Bzw2	Neurological
Alzheimer	1700029I15Rik	Neurological
Alzheimer	1500009L16Rik	Neurological
Alzheimer	Hid1	Neurological
Alzheimer	Epop	Neurological
Alzheimer	Mtres1	Neurological
Alzheimer	C9orf92	Neurological
Alzheimer	Cacna1g	Neurological
Alzheimer	Cacna2d3	Neurological
Alzheimer	Cadm2	Neurological
Alzheimer	Camk4	Neurological
Alzheimer	Cass4	Neurological
Alzheimer	Catsperb	Neurological
Alzheimer	Cblc	Neurological
Alzheimer	Ccdc116	Neurological
Alzheimer	Ccdc134	Neurological
Alzheimer	Ccdc85c	Neurological
Alzheimer	Ccz1	Neurological
Alzheimer	Cd2ap	Neurological
Alzheimer	CD33	Neurological
Alzheimer	Cdc42se2	Neurological
Alzheimer	Gm9048	Neurological
Alzheimer	Cdkal1	Neurological
Alzheimer	Cdon	Neurological
Alzheimer	Ceacam16	Neurological
Alzheimer	Ceacam20	Neurological
Alzheimer	CEACAM22P	Neurological
Alzheimer	Celf1	Neurological
Alzheimer	Chrna2	Neurological
Alzheimer	Chst1	Neurological
Alzheimer	Ckm	Neurological
Alzheimer	Clasrp	Neurological
Alzheimer	Clmn	Neurological
Alzheimer	Clnk	Neurological
Alzheimer	Clptm1	Neurological
Alzheimer	Clu	Neurological
Alzheimer	Cntnap2	Neurological
Alzheimer	Cps1	Neurological
Alzheimer	Cr1l	Neurological
Alzheimer	Cradd	Neurological
Alzheimer	Crhr1	Neurological
Alzheimer	Csmd1	Neurological
Alzheimer	CTB-171A8.1	Neurological
Alzheimer	CTB-179K24.3	Neurological
Alzheimer	Ctnna2	Neurological
Alzheimer	Celf2	Neurological
Alzheimer	Gm10053	Neurological
