region	tissue_Ohahn
Fiber_tracts_A	cc
CBXgr	cer
CBXmo	cer
CBXpu	cer
L2/3_A	cor
L2/3_B	cor
L2/3_C	cor
L2/3_D	cor
L2/3_E	cor
L4	cor
L5	cor
L6	cor
STR_A	cp
STR_B	cp
STR_C	cp
ENTm_ECTp	ent
CA1sp	hi
CA2_IG_FC	hi
CA3sp	hi
DG_A	hi
DG_B	hi
HYam_MEA	hy
SCH	hy
VMH	hy
L1_HPFmo	hi
OBgl	olf
OBgr	olf
OBmi	olf
OBopl	olf
Amyg_PALa	other
chpl	plx
THam	th
THl	th
THpm	th
AMYp	other
ARH	hy
BS_Fiber_A	other
BS_Fiber_B	other
BS_PALp_sub	other
CS_PRNr	other
DR_PCG_DTN_LDT	other
EP	other
Fiber_tracts_B	other
Fiber_tracts_C	other
Fiber_tracts_D	other
IC	other
III_VII_MV	other
IPN	other
isl_A	other
isl_B	other
LSX	other
Meninges	other
NTS_SP	other
onl	olf
PAGm_HYdp	other
PB	other
Peri-V	other
PG_DCO_VCO	other
PIR2	other
PSV	other
RT	other
SCm_PRT_MRN	other
SCO	other
SCs	other
SP	other
STN_MM	other
SUB	other
TRS	other
VS_A	other
VS_B	other
VS_C	other
VTA_SNc	other
ZI_MPO_MPN	other
